Projected direction: 20.89, error: 20.89, derivative: 20.89, control var: 20.89, steering_command 18
Projected direction: 29.35, error: 29.35, derivative: 8.46, control var: 14.73, steering_command 39
Projected direction: 31.62, error: 31.62, derivative: 2.27, control var: 11.07, steering_command 52
Projected direction: 24.35, error: 24.35, derivative: -7.26, control var: 2.22, steering_command 83
Projected direction: 30.22, error: 30.22, derivative: 5.87, control var: 13.17, steering_command 45
Projected direction: 29.81, error: 29.81, derivative: -0.41, control var: 8.65, steering_command 60
Projected direction: 29.72, error: 29.72, derivative: -0.09, control var: 8.86, steering_command 60
Projected direction: 28.95, error: 28.95, derivative: -0.77, control var: 8.14, steering_command 62
Projected direction: 32.55, error: 32.55, derivative: 3.60, control var: 12.28, steering_command 48
Projected direction: 31.01, error: 31.01, derivative: -1.53, control var: 8.23, steering_command 62
Projected direction: 31.71, error: 31.71, derivative: 0.70, control var: 10.01, steering_command 56
Projected direction: 31.71, error: 31.71, derivative: -0.00, control var: 9.51, steering_command 57
Projected direction: 28.53, error: 28.53, derivative: -3.18, control var: 6.33, steering_command 68
Projected direction: 32.35, error: 32.35, derivative: 3.82, control var: 12.38, steering_command 47
Projected direction: 31.43, error: 31.43, derivative: -0.92, control var: 8.78, steering_command 60
Projected direction: 30.05, error: 30.05, derivative: -1.38, control var: 8.05, steering_command 62
Projected direction: 32.18, error: 32.18, derivative: 2.12, control var: 11.14, steering_command 52
Projected direction: 31.16, error: 31.16, derivative: -1.01, control var: 8.64, steering_command 60
Projected direction: 30.77, error: 30.77, derivative: -0.39, control var: 8.96, steering_command 59
Projected direction: 31.02, error: 31.02, derivative: 0.25, control var: 9.48, steering_command 57
Projected direction: 31.88, error: 31.88, derivative: 0.86, control var: 10.16, steering_command 55
Projected direction: 29.73, error: 29.73, derivative: -2.15, control var: 7.41, steering_command 65
Projected direction: 29.11, error: 29.11, derivative: -0.62, control var: 8.30, steering_command 62
Projected direction: 30.67, error: 30.67, derivative: 1.56, control var: 10.29, steering_command 55
Projected direction: 33.04, error: 33.04, derivative: 2.37, control var: 11.57, steering_command 50
